Кол-во итераций,Однопоточный,Многопоточный,OpenGL
1,47593287,153015446,2887503
2,109548455,168974550,3554830
3,175185833,185803137,3778188
4,228460870,195374127,4016154
5,290343735,205713838,3971579
6,350660671,212353142,4293275
7,410860620,214479487,4147245
8,470393082,215181351,4007472
9,529079199,215591820,4205380
10,588554860,215305649,3995359
11,649500219,215758280,4273324
12,710061214,215801329,4374386
13,769308330,216255990,4215994
14,827978309,217695584,4459785
15,886998022,218102497,4228779
